Name,Count
United States,1318
Singapore,215
France,210
China,118
Canada,99
India,75
Germany,52
The Netherlands,49
Russia,42
United Kingdom,34
Sweden,33
Romania,24
Moldova,14
Ukraine,14
Hong Kong,13
Italy,12
Japan,11
Ireland,10
Brazil,8
Hungary,8
Finland,7
Mexico,7
Türkiye,7
Bulgaria,6
Luxembourg,6
Czechia,5
Taiwan,5
Greece,4
South Korea,4
Australia,3
Indonesia,3
Poland,3
Lithuania,2
Morocco,2
Philippines,2
Portugal,2
Serbia,2
Switzerland,2
United Arab Emirates,2
Algeria,1
Jordan,1
Kazakhstan,1
Namibia,1
Pakistan,1
Puerto Rico,1
Saudi Arabia,1
Spain,1
Thailand,1
Venezuela,1
Vietnam,1
