Name,Download
elxr-12.7.0.0-amd64-CD-1.iso,463
elxr-iso-1726065612.035066.iso,283
elxr-12.6.1.0-amd64-CD-1.iso,235
elxr-edge-12.7.0.0-amd64.iso,223
elxr-12.9.0.0-amd64-NETINST-1.iso,87
elxr-edge-12.9.0.0-amd64.iso,66
elxr-minimal-ostree-imx-12.7.0.0-arm64.img.zst,51
elxr-tegra-12.7.0.0-arm64.tar.gz,49
elxr-tegra-12.7.0.0-arm64.img.zst,47
elxr-cloud-12.9.0.0-amd64.qcow2,45
elxr-cloud-amd64-12.7.0.0-amd64.qcow2,39
elxr-minimal-ostree-imx8-0.1-arm64.img.zst,34
elxr-tegra-12.6.1.0.tar.gz,29
elxr-12-amd64-CD-1.iso,26
elxr-minimal-ostree-imx-12.9.0.0-arm64.img.zst,21
elxr-tegra-12.6.1.0-arm64.img.zst,19
elxr-12.0.1-amd64-CD-1.iso,17
elxr-iso-1719347192.03289.iso,8
elxr-tegra-12.9.0.0-arm64.img.zst,8
elxr-tegra-12.6.1.0-arm64.tar.gz,7
elxr-tegra-12.9.0.0-arm64.tar.gz,7
elxr-tegra-12.6.0.1-arm64.img.zst,4
