Name,Download
zlib1g,5175
wget,4962
base-files,4907
linux-libc-dev,4669
zlib1g-dev,4436
python-apt-common,3966
python3-apt,3966
python3-apt-ostree,3240
busybox,2910
grub-common,2658
grub2-common,2584
linux-image-amd64,2531
libnuma1,2410
uefi-ext4,2390
libnsl2,2194
libsqlite3-0,2166
libsasl2-2,2120
libsasl2-modules-db,2120
libldap-2.5-0,2117
libnghttp2-14,2112
libssh2-1,2094
librtmp1,2093
libpython3.11-minimal,2089
libglib2.0-0,2087
python3.11-minimal,2085
libpython3.11-stdlib,2055
python3.11,2043
libgcrypt20,2038
media-types,2020
python3-minimal,2011
libpsl5,2006
libjpeg62-turbo,1998
libfontconfig1,1989
libpython3-stdlib,1980
fontconfig-config,1979
python3,1977
fonts-dejavu-core,1957
rpcsvc-proto,1947
libcurl4,1943
libnpth0,1941
dirmngr,1940
gnupg-utils,1940
gpg-agent,1940
gpg-wks-client,1940
gpg-wks-server,1940
gnupg-l10n,1939
gpgsm,1939
gnupg,1937
libksba8,1936
libicu72,1935
libxml2,1931
gcc-12-cross-base,1927
pinentry-curses,1918
python3-pkg-resources,1890
libglib2.0-data,1866
libc6-dev,1814
libcurl3-gnutls,1797
libcrypt-dev,1789
libnsl-dev,1785
libtirpc-dev,1785
libc-dev-bin,1772
libgomp1,1759
python3-six,1756
libxcb-shm0,1717
libx265-199,1685
curl,1681
libperl5.36,1680
libgdbm-compat4,1678
perl,1677
perl-modules-5.36,1674
libaom3,1673
libdav1d6,1662
libquadmath0,1649
libpixman-1-0,1648
libxcb-render0,1648
libxpm4,1646
libwrap0,1643
libatomic1,1641
libgirepository-1.0-1,1637
libsvtav1enc1,1637
libcairo2,1635
librav1e0,1633
gir1.2-glib-2.0,1630
dbus,1623
dbus-bin,1623
libavahi-common-data,1622
dbus-daemon,1621
libdbus-1-3,1621
libavahi-common3,1620
python3-pasha,1614
libstdc++-12-dev,1612
libasan8,1595
libitm1,1594
liblsan0,1594
dbus-session-bus-common,1593
dbus-system-bus-common,1593
libgcc-12-dev,1592
libubsan1,1592
libtsan2,1590
libavahi-client3,1589
libmpc3,1582
libisl23,1581
libxrender1,1576
libxfixes3,1570
libdeflate0,1559
libwayland-client0,1558
libmpfr6,1548
liblerc4,1542
libwebp7,1542
libjbig0,1541
debootstrap,1536
libtiff6,1536
cpp-12,1525
cpp,1520
liburing2,1511
libnfnetlink0,1502
libcairo-gobject2,1498
libaio1,1495
libgraphite2-3,1494
emacsen-common,1493
libz3-4,1486
python3-urllib3,1485
libharfbuzz0b,1483
libnetfilter-conntrack3,1482
qat2.0.l-common,1481
python3-tiler,1477
libgpgme11,1476
liblcms2-2,1476
libx11-xcb1,1471
libdconf1,1467
libyaml-0-2,1462
libcups2,1460
dconf-gsettings-backend,1459
qat2.0.l,1459
binutils-common,1458
dconf-service,1458
patch,1457
python3-chardet,1457
dictionaries-common,1456
libbinutils,1450
binutils-x86-64-linux-gnu,1444
g++-12,1444
libctf0,1444
binutils,1442
libctf-nobfd0,1440
libgprofng0,1440
fontconfig,1439
libdrm-common,1439
python3-idna,1439
libdrm2,1437
libdatrie1,1436
make,1435
python3-certifi,1422
libthai-data,1420
libthai0,1420
libcc1-0,1419
python3-charset-normalizer,1419
gcc-12,1418
gcc,1416
libpango-1.0-0,1415
python3-requests,1415
gpgconf,1414
libassuan0,1414
gpg,1412
libpangoft2-1.0-0,1407
libpangocairo-1.0-0,1401
grub-efi-amd64-bin,1399
libxcb-xfixes0,1394
qatzip,1393
g++,1392
qatengine,1392
libxcb-dri3-0,1390
bzip2,1389
libxcb-sync1,1388
liblzo2-2,1387
libxcb-present0,1386
python3-rucksack,1385
at-spi2-common,1384
libxshmfence1,1384
libxcb-dri2-0,1383
xz-utils,1368
libxi6,1363
mmdebstrap,1362
gsettings-desktop-schemas,1359
